10	/N + 1 EM	ISSIVITY	COEFFTS./				
5680.9	A  24  35	/FILMEM	= #7_ls#n	1/TYPE =	EXCIT	/INDM = T	/ISEL =    1
1.21E-10	1.14E-10	1.07E-10	9.98E-11	9.32E-11	8.69E-11	8.09E-11	7.52E-11
6.98E-11	6.47E-11	5.99E-11					
1.00E-74	1.00E-74	1.00E-74	1.71E-41	3.26E-32	1.29E-25	6.08E-21	1.19E-17
2.32E-15	8.67E-14	1.00E-12	5.17E-12	1.53E-11	3.10E-11	4.81E-11	6.30E-11
7.39E-11	8.06E-11	8.39E-11	8.46E-11	8.35E-11	8.14E-11	7.86E-11	7.54E-11
7.21E-11	6.88E-11	6.55E-11	6.24E-11	5.93E-11	5.64E-11	5.36E-11	5.10E-11
4.85E-11	4.61E-11	4.38E-11					
5738.1	A  24  35	/FILMEM	= #7_ls#n	1/TYPE =	EXCIT	/INDM = T	/ISEL =    2
1.00E+06	2.46E+06	6.06E+06	1.49E+07	3.67E+07	9.05E+07	2.23E+08	5.48E+08
1.35E+09	3.32E+09	8.19E+09	2.02E+10	4.96E+10	1.22E+11	3.01E+11	7.41E+11
1.82E+12	4.49E+12	1.11E+13	2.72E+13	6.70E+13	1.65E+14	4.06E+14	1.00E+15
1.00E-01	1.40E-01	1.97E-01	2.76E-01	3.87E-01	5.44E-01	7.63E-01	1.07E+00
1.50E+00	2.11E+00	2.96E+00	4.15E+00	5.82E+00	8.16E+00	1.15E+01	1.61E+01
2.25E+01	3.16E+01	4.44E+01	6.22E+01	8.73E+01	1.23E+02	1.72E+02	2.41E+02
3.38E+02	4.75E+02	6.66E+02	9.35E+02	1.31E+03	1.84E+03	2.58E+03	3.62E+03
5.08E+03	7.13E+03	1.00E+04					
1.00E-74	1.00E-74	1.00E-74	1.88E-42	3.33E-33	1.23E-26	5.47E-22	1.04E-18
2.10E-16	8.72E-15	1.18E-13	7.13E-13	2.43E-12	5.46E-12	9.10E-12	1.22E-11
1.40E-11	1.45E-11	1.41E-11	1.31E-11	1.19E-11	1.06E-11	9.36E-12	8.25E-12
7.26E-12	6.38E-12	5.60E-12	4.92E-12	4.32E-12	3.80E-12	3.35E-12	2.96E-12
2.62E-12	2.33E-12	2.08E-12					
1.00E-74	1.00E-74	1.00E-74	1.94E-42	3.43E-33	1.27E-26	5.63E-22	1.07E-18
2.15E-16	8.92E-15	1.20E-13	7.25E-13	2.46E-12	5.53E-12	9.18E-12	1.23E-11
1.41E-11	1.46E-11	1.41E-11	1.31E-11	1.18E-11	1.06E-11	9.35E-12	8.24E-12
7.25E-12	6.37E-12	5.60E-12	4.91E-12	4.31E-12	3.79E-12	3.34E-12	2.95E-12
2.62E-12	2.32E-12	2.07E-12					
1.00E-74	1.00E-74	1.00E-74	2.02E-42	3.57E-33	1.31E-26	5.82E-22	1.10E-18
2.21E-16	9.13E-15	1.22E-13	7.37E-13	2.50E-12	5.59E-12	9.26E-12	1.24E-11
1.41E-11	1.46E-11	1.41E-11	1.31E-11	1.18E-11	1.06E-11	9.34E-12	8.23E-12
7.24E-12	6.37E-12	5.59E-12	4.91E-12	4.31E-12	3.79E-12	3.34E-12	2.95E-12
2.61E-12	2.32E-12	2.07E-12					
1.00E-74	1.00E-74	1.00E-74	2.11E-42	3.72E-33	1.37E-26	6.06E-22	1.14E-18
2.29E-16	9.42E-15	1.26E-13	7.53E-13	2.54E-12	5.67E-12	9.37E-12	1.25E-11
1.42E-11	1.47E-11	1.41E-11	1.31E-11	1.19E-11	1.06E-11	9.34E-12	8.23E-12
7.24E-12	6.37E-12	5.59E-12	4.91E-12	4.31E-12	3.79E-12	3.34E-12	2.95E-12
2.61E-12	2.32E-12	2.07E-12					
1.00E-74	1.00E-74	1.00E-74	2.18E-42	3.86E-33	1.42E-26	6.30E-22	1.19E-18
2.38E-16	9.75E-15	1.30E-13	7.73E-13	2.59E-12	5.76E-12	9.49E-12	1.26E-11
1.43E-11	1.47E-11	1.42E-11	1.31E-11	1.19E-11	1.06E-11	9.34E-12	8.23E-12
7.24E-12	6.37E-12	5.59E-12	4.91E-12	4.31E-12	3.79E-12	3.34E-12	2.95E-12
2.61E-12	2.32E-12	2.07E-12					
1.00E-74	1.00E-74	1.00E-74	2.22E-42	3.94E-33	1.45E-26	6.47E-22	1.22E-18
2.45E-16	1.00E-14	1.33E-13	7.91E-13	2.64E-12	5.85E-12	9.59E-12	1.27E-11
1.44E-11	1.48E-11	1.42E-11	1.31E-11	1.19E-11	1.06E-11	9.34E-12	8.23E-12
7.24E-12	6.36E-12	5.59E-12	4.91E-12	4.31E-12	3.79E-12	3.34E-12	2.95E-12
2.61E-12	2.32E-12	2.07E-12					
1.00E-74	1.00E-74	1.00E-74	2.24E-42	3.98E-33	1.47E-26	6.56E-22	1.24E-18
2.49E-16	1.02E-14	1.35E-13	8.03E-13	2.68E-12	5.90E-12	9.65E-12	1.27E-11
1.45E-11	1.48E-11	1.42E-11	1.32E-11	1.19E-11	1.06E-11	9.34E-12	8.23E-12
7.24E-12	6.36E-12	5.59E-12	4.91E-12	4.31E-12	3.79E-12	3.34E-12	2.95E-12
2.61E-12	2.32E-12	2.07E-12					
1.00E-74	1.00E-74	1.00E-74	2.25E-42	4.00E-33	1.48E-26	6.60E-22	1.25E-18
2.52E-16	1.03E-14	1.37E-13	8.08E-13	2.69E-12	5.92E-12	9.67E-12	1.28E-11
1.45E-11	1.48E-11	1.42E-11	1.32E-11	1.19E-11	1.06E-11	9.34E-12	8.23E-12
7.24E-12	6.36E-12	5.59E-12	4.91E-12	4.31E-12	3.79E-12	3.34E-12	2.95E-12
2.61E-12	2.32E-12	2.07E-12					
1.00E-74	1.00E-74	1.00E-74	2.25E-42	4.01E-33	1.48E-26	6.62E-22	1.26E-18
2.52E-16	1.03E-14	1.37E-13	8.09E-13	2.69E-12	5.92E-12	9.66E-12	1.27E-11
1.44E-11	1.48E-11	1.42E-11	1.31E-11	1.19E-11	1.06E-11	9.34E-12	8.23E-12
7.24E-12	6.36E-12	5.59E-12	4.90E-12	4.31E-12	3.79E-12	3.34E-12	2.95E-12
2.61E-12	2.32E-12	2.07E-12					
1.00E-74	1.00E-74	1.00E-74	2.26E-42	4.02E-33	1.49E-26	6.63E-22	1.26E-18
2.53E-16	1.03E-14	1.37E-13	8.07E-13	2.68E-12	5.89E-12	9.61E-12	1.27E-11
1.44E-11	1.47E-11	1.42E-11	1.31E-11	1.18E-11	1.06E-11	9.33E-12	8.22E-12
7.24E-12	6.36E-12	5.59E-12	4.90E-12	4.31E-12	3.79E-12	3.34E-12	2.95E-12
2.61E-12	2.32E-12	2.07E-12					
1.00E-74	1.00E-74	1.00E-74	2.26E-42	4.02E-33	1.49E-26	6.63E-22	1.26E-18
2.52E-16	1.03E-14	1.36E-13	8.01E-13	2.65E-12	5.83E-12	9.51E-12	1.25E-11
1.42E-11	1.46E-11	1.41E-11	1.30E-11	1.18E-11	1.05E-11	9.32E-12	8.22E-12
7.23E-12	6.36E-12	5.59E-12	4.90E-12	4.31E-12	3.79E-12	3.34E-12	2.95E-12
2.61E-12	2.32E-12	2.07E-12					
1.00E-74	1.00E-74	1.00E-74	2.26E-42	4.02E-33	1.49E-26	6.64E-22	1.26E-18
2.52E-16	1.03E-14	1.35E-13	7.92E-13	2.62E-12	5.74E-12	9.36E-12	1.24E-11
1.41E-11	1.45E-11	1.40E-11	1.30E-11	1.18E-11	1.05E-11	9.31E-12	8.21E-12
7.23E-12	6.36E-12	5.59E-12	4.90E-12	4.31E-12	3.79E-12	3.34E-12	2.95E-12
2.61E-12	2.32E-12	2.07E-12					
1.00E-74	1.00E-74	1.00E-74	2.26E-42	4.02E-33	1.49E-26	6.64E-22	1.26E-18
2.52E-16	1.02E-14	1.34E-13	7.82E-13	2.58E-12	5.65E-12	9.22E-12	1.22E-11
1.39E-11	1.43E-11	1.39E-11	1.29E-11	1.17E-11	1.05E-11	9.29E-12	8.20E-12
7.23E-12	6.36E-12	5.58E-12	4.90E-12	4.31E-12	3.79E-12	3.34E-12	2.95E-12
2.61E-12	2.32E-12	2.07E-12					
1.00E-74	1.00E-74	1.00E-74	2.26E-42	4.02E-33	1.49E-26	6.64E-22	1.26E-18
2.51E-16	1.02E-14	1.33E-13	7.75E-13	2.55E-12	5.59E-12	9.12E-12	1.21E-11
1.38E-11	1.42E-11	1.38E-11	1.29E-11	1.17E-11	1.05E-11	9.29E-12	8.20E-12
7.22E-12	6.35E-12	5.58E-12	4.90E-12	4.31E-12	3.79E-12	3.34E-12	2.95E-12
2.61E-12	2.32E-12	2.07E-12					
1.00E-74	1.00E-74	1.00E-74	2.26E-42	4.02E-33	1.49E-26	6.64E-22	1.26E-18
2.51E-16	1.01E-14	1.32E-13	7.71E-13	2.54E-12	5.56E-12	9.07E-12	1.20E-11
1.37E-11	1.42E-11	1.38E-11	1.29E-11	1.17E-11	1.05E-11	9.28E-12	8.20E-12
7.22E-12	6.35E-12	5.58E-12	4.90E-12	4.31E-12	3.79E-12	3.34E-12	2.95E-12
2.61E-12	2.32E-12	2.07E-12					
1.00E-74	1.00E-74	1.00E-74	2.27E-42	4.03E-33	1.49E-26	6.64E-22	1.26E-18
2.51E-16	1.01E-14	1.32E-13	7.68E-13	2.53E-12	5.53E-12	9.03E-12	1.20E-11
1.37E-11	1.42E-11	1.38E-11	1.28E-11	1.17E-11	1.05E-11	9.28E-12	8.20E-12
7.22E-12	6.35E-12	5.58E-12	4.90E-12	4.31E-12	3.79E-12	3.34E-12	2.95E-12
2.61E-12	2.32E-12	2.07E-12					
1.00E-74	1.00E-74	1.00E-74	2.27E-42	4.03E-33	1.49E-26	6.63E-22	1.25E-18
2.50E-16	1.01E-14	1.31E-13	7.65E-13	2.52E-12	5.51E-12	8.99E-12	1.19E-11
1.36E-11	1.41E-11	1.37E-11	1.28E-11	1.17E-11	1.04E-11	9.27E-12	8.19E-12
7.22E-12	6.35E-12	5.59E-12	4.91E-12	4.31E-12	3.79E-12	3.34E-12	2.95E-12
2.61E-12	2.32E-12	2.07E-12					
1.00E-74	1.00E-74	1.00E-74	2.28E-42	4.03E-33	1.48E-26	6.59E-22	1.25E-18
2.48E-16	1.00E-14	1.30E-13	7.58E-13	2.49E-12	5.45E-12	8.91E-12	1.18E-11
1.35E-11	1.40E-11	1.36E-11	1.27E-11	1.16E-11	1.04E-11	9.25E-12	8.18E-12
7.21E-12	6.35E-12	5.59E-12	4.91E-12	4.31E-12	3.80E-12	3.35E-12	2.96E-12
2.62E-12	2.33E-12	2.07E-12					
1.00E-74	1.00E-74	1.00E-74	2.25E-42	3.97E-33	1.46E-26	6.48E-22	1.22E-18
2.43E-16	9.81E-15	1.27E-13	7.39E-13	2.43E-12	5.31E-12	8.67E-12	1.15E-11
1.32E-11	1.37E-11	1.34E-11	1.25E-11	1.15E-11	1.03E-11	9.18E-12	8.13E-12
7.19E-12	6.34E-12	5.58E-12	4.91E-12	4.32E-12	3.80E-12	3.36E-12	2.97E-12
2.63E-12	2.34E-12	2.08E-12					
1.00E-74	1.00E-74	1.00E-74	2.09E-42	3.72E-33	1.38E-26	6.14E-22	1.16E-18
2.31E-16	9.25E-15	1.19E-13	6.90E-13	2.26E-12	4.93E-12	8.04E-12	1.07E-11
1.23E-11	1.29E-11	1.27E-11	1.20E-11	1.10E-11	9.96E-12	8.93E-12	7.95E-12
7.06E-12	6.26E-12	5.53E-12	4.89E-12	4.31E-12	3.81E-12	3.36E-12	2.98E-12
2.64E-12	2.35E-12	2.10E-12					
1.00E-74	1.00E-74	1.00E-74	1.71E-42	3.13E-33	1.18E-26	5.34E-22	1.02E-18
2.02E-16	8.04E-15	1.02E-13	5.84E-13	1.89E-12	4.09E-12	6.64E-12	8.84E-12
1.03E-11	1.09E-11	1.08E-11	1.04E-11	9.72E-12	8.94E-12	8.13E-12	7.34E-12
6.61E-12	5.92E-12	5.29E-12	4.72E-12	4.20E-12	3.74E-12	3.33E-12	2.97E-12
2.65E-12	2.36E-12	2.12E-12					
1.00E-74	1.00E-74	1.00E-74	1.21E-42	2.27E-33	8.82E-27	4.08E-22	7.86E-19
1.56E-16	6.10E-15	7.59E-14	4.22E-13	1.33E-12	2.84E-12	4.56E-12	6.06E-12
7.09E-12	7.62E-12	7.74E-12	7.59E-12	7.26E-12	6.83E-12	6.36E-12	5.89E-12
5.43E-12	4.98E-12	4.55E-12	4.15E-12	3.77E-12	3.41E-12	3.09E-12	2.80E-12
2.53E-12	2.29E-12	2.07E-12					
1.00E-74	1.00E-74	1.00E-74	7.80E-43	1.49E-33	5.91E-27	2.78E-22	5.41E-19
1.07E-16	4.08E-15	4.91E-14	2.64E-13	8.09E-13	1.68E-12	2.66E-12	3.51E-12
4.12E-12	4.47E-12	4.61E-12	4.60E-12	4.49E-12	4.31E-12	4.11E-12	3.89E-12
3.68E-12	3.46E-12	3.25E-12	3.04E-12	2.84E-12	2.65E-12	2.47E-12	2.29E-12
2.13E-12	1.97E-12	1.83E-12					
1.00E-74	1.00E-74	1.00E-74	5.22E-43	9.92E-34	3.92E-27	1.85E-22	3.62E-19
7.08E-17	2.64E-15	3.06E-14	1.58E-13	4.67E-13	9.43E-13	1.47E-12	1.92E-12
2.25E-12	2.46E-12	2.56E-12	2.58E-12	2.55E-12	2.48E-12	2.39E-12	2.30E-12
2.20E-12	2.10E-12	2.00E-12	1.90E-12	1.81E-12	1.72E-12	1.63E-12	1.55E-12
1.48E-12	1.40E-12	1.33E-12					
5593.1	A  24  35	/FILMEM	= #7_ls#n	1/TYPE =	EXCIT	/INDM = T	/ISEL =    3
1.00E+06	2.46E+06	6.06E+06	1.49E+07	3.67E+07	9.05E+07	2.23E+08	5.48E+08
1.35E+09	3.32E+09	8.19E+09	2.02E+10	4.96E+10	1.22E+11	3.01E+11	7.41E+11
1.82E+12	4.49E+12	1.11E+13	2.72E+13	6.70E+13	1.65E+14	4.06E+14	1.00E+15
1.00E-01	1.40E-01	1.97E-01	2.76E-01	3.87E-01	5.44E-01	7.63E-01	1.07E+00
1.50E+00	2.11E+00	2.96E+00	4.15E+00	5.82E+00	8.16E+00	1.15E+01	1.61E+01
2.25E+01	3.16E+01	4.44E+01	6.22E+01	8.73E+01	1.23E+02	1.72E+02	2.41E+02
3.38E+02	4.75E+02	6.66E+02	9.35E+02	1.31E+03	1.84E+03	2.58E+03	3.62E+03
5.08E+03	7.13E+03	1.00E+04					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	7.09E-41	9.16E-33	5.17E-27	6.04E-23
4.47E-20	4.63E-18	1.18E-16	1.11E-15	5.13E-15	1.42E-14	2.71E-14	3.90E-14
4.54E-14	4.48E-14	3.89E-14	3.07E-14	2.31E-14	1.71E-14	1.28E-14	9.68E-15
7.50E-15	5.92E-15	4.77E-15	3.91E-15	3.26E-15	2.75E-15	2.35E-15	2.02E-15
1.75E-15	1.52E-15	1.32E-15					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	7.27E-41	9.44E-33	5.35E-27	6.29E-23
4.67E-20	4.86E-18	1.24E-16	1.17E-15	5.40E-15	1.50E-14	2.86E-14	4.11E-14
4.77E-14	4.69E-14	4.06E-14	3.20E-14	2.41E-14	1.78E-14	1.33E-14	1.01E-14
7.82E-15	6.18E-15	4.99E-15	4.11E-15	3.44E-15	2.92E-15	2.51E-15	2.17E-15
1.89E-15	1.66E-15	1.46E-15					
1.00E-74	1.00E-74	1.00E-74	1.00E-74	7.39E-41	9.60E-33	5.45E-27	6.41E-23
